month,total_insolvencies,cvl,compulsory_liquidation,administration,cva,receivership,rate_per_10k_12m_rolling
2000-01,1343,760,397,29,44,113,
2000-02,1181,705,329,38,33,76,
2000-03,1325,762,398,26,48,91,
2000-04,1255,720,367,37,49,82,
2000-05,1272,696,399,31,55,91,
2000-06,1249,668,428,35,45,73,
2000-07,1325,717,472,16,30,90,
2000-08,1371,732,441,68,43,87,
2000-09,1345,746,461,25,47,66,
2000-10,1364,763,420,30,44,107,
2000-11,1330,760,382,36,56,96,
2000-12,1345,745,431,43,57,69,
2001-01,1408,758,423,47,60,120,113.3
2001-02,1413,766,459,35,32,121,114.1
2001-03,1300,690,416,52,40,102,112.8
2001-04,1454,750,493,47,53,111,114.3
2001-05,1294,736,365,56,60,77,113.7
2001-06,1385,797,406,40,48,94,113.8
2001-07,1335,763,411,49,42,70,113.7
2001-08,1269,783,308,48,51,79,112.8
2001-09,1301,785,332,63,49,72,111.9
2001-10,1457,773,345,154,51,134,112.7
2001-11,1426,821,352,64,64,125,113.1
2001-12,1360,829,365,44,48,74,113.1
2002-01,1453,814,396,77,46,120,113.1
2002-02,1428,796,447,46,54,85,112.9
2002-03,1602,840,592,55,48,67,114.2
2002-04,1408,754,471,38,58,87,113.9
2002-05,1614,888,534,47,58,87,116.3
2002-06,1412,769,472,55,32,84,115.8
2002-07,1480,771,483,52,58,116,117
2002-08,1617,782,638,52,58,87,117.8
2002-09,1416,786,439,54,57,80,118.5
2002-10,1765,911,674,57,47,76,120.1
2002-11,1600,758,681,39,56,66,120.2
2002-12,1346,757,404,55,65,65,119.4
2003-01,1370,683,521,42,51,73,118.4
2003-02,1495,769,515,74,49,88,118
2003-03,1364,657,519,45,64,79,115.6
2003-04,1331,799,347,57,60,68,114.1
2003-05,1450,770,512,55,40,73,111.3
2003-06,1485,789,520,54,56,66,111.1
2003-07,1437,816,403,62,59,97,109.2
2003-08,1214,666,373,46,55,74,106
2003-09,1337,755,400,50,58,74,104.6
2003-10,1304,708,357,75,49,115,100.1
2003-11,1266,711,348,81,61,65,97.2
2003-12,1378,711,420,100,75,72,96.5
2004-01,1389,705,474,98,61,51,95.3
2004-02,1156,606,338,111,43,58,92.4
2004-03,1321,731,373,106,53,58,91.9
2004-04,1327,700,407,124,46,50,90.6
2004-05,1217,639,359,121,50,48,88.5
2004-06,1218,638,357,140,38,45,86.5
2004-07,1215,630,370,115,43,57,84.3
2004-08,1335,637,428,166,56,48,84.4
2004-09,1188,614,360,154,37,23,83.4
2004-10,1305,675,374,162,46,48,82.3
2004-11,1168,547,374,150,42,55,81.9
2004-12,1266,678,371,143,39,35,80.9
2005-01,1196,638,354,141,43,20,79.4
2005-02,1312,638,429,166,59,20,79.8
2005-03,1259,645,360,163,56,35,78.3
2005-04,1361,660,410,209,60,22,78.4
2005-05,1413,691,450,175,59,38,79.4
2005-06,1371,675,432,189,47,28,79.8
2005-07,1413,634,492,207,46,34,80.4
2005-08,1406,690,453,208,38,17,81.4
2005-09,1488,627,588,213,42,18,81.6
2005-10,1357,618,488,195,33,23,81.7
2005-11,1331,675,356,226,39,35,82.4
2005-12,1308,645,420,194,34,15,81.7
2006-01,1606,733,564,249,47,13,83.3
2006-02,1440,689,463,236,24,28,83.8
2006-03,1412,671,434,227,45,35,84.6
2006-04,1314,635,409,212,47,11,83.4
2006-05,1340,656,390,217,51,26,82.7
2006-06,1351,661,397,226,48,19,82
2006-07,1305,664,370,221,35,15,81.1
2006-08,1481,654,549,226,42,10,80.2
2006-09,1399,680,454,226,31,8,79.7
2006-10,1409,673,451,219,43,23,79.6
2006-11,2181,642,471,1022,37,9,83.6
2006-12,1311,619,467,185,32,8,82.6
2007-01,1340,629,449,219,34,9,81.6
2007-02,1316,635,442,195,32,12,80.3
2007-03,1304,566,481,221,29,7,78.8
2007-04,1295,605,475,172,35,8,78.3
2007-05,1122,483,450,155,26,8,76.8
2007-06,1482,733,424,265,41,19,76.7
2007-07,1320,619,439,206,50,6,76.3
2007-08,1284,596,416,224,38,10,75
2007-09,1476,730,452,245,40,9,74.6
2007-10,1300,686,345,213,38,18,74.3
2007-11,1313,658,403,209,34,9,69.4
2007-12,1074,492,387,171,20,4,68.4
2008-01,1492,792,350,275,62,13,68.9
2008-02,1381,680,392,261,34,14,69.3
2008-03,1410,696,376,286,43,9,69
2008-04,1499,697,399,350,42,11,70.5
2008-05,1601,797,456,302,35,11,71.9
2008-06,1575,756,454,305,53,7,72.1
2008-07,1844,861,547,322,44,70,74.5
2008-08,1727,846,498,322,57,4,75.6
2008-09,1858,921,489,369,66,13,77.7
2008-10,2614,908,508,1130,46,22,83
2008-11,2025,1018,500,436,52,19,85.8
2008-12,2143,1117,525,442,50,9,90.4
2009-01,1981,1042,497,389,47,6,91.8
2009-02,2115,1118,569,373,43,12,94.9
2009-03,2363,1284,506,502,64,7,100.9
2009-04,2141,1224,529,323,57,8,103.6
2009-05,2026,1144,441,365,51,25,105.9
2009-06,2115,1224,493,346,45,7,109.7
2009-07,2025,1099,534,328,55,9,111.1
2009-08,1894,1121,335,368,62,8,112.7
2009-09,1926,1139,433,273,73,8,113.1
2009-10,1785,1010,449,266,58,2,109.6
2009-11,1848,1049,441,282,64,12,109.3
2009-12,1820,1040,416,262,94,8,108.1
2010-01,1709,930,489,216,67,7,110
2010-02,1669,976,378,249,58,8,107.8
2010-03,1701,948,456,218,75,4,104.5
2010-04,1809,1065,401,255,84,4,103
2010-05,1610,893,412,239,62,4,101
2010-06,1643,940,382,237,84,0,98.4
2010-07,1453,887,337,175,48,6,95.2
2010-08,1721,1061,384,217,55,4,94.4
2010-09,1565,918,349,233,55,10,92.5
2010-10,1731,1061,375,229,63,3,91.5
2010-11,1624,933,406,218,64,3,90.5
2010-12,1305,735,358,167,42,3,88
2011-01,1841,1164,340,259,76,2,88.3
2011-02,1533,948,339,209,34,3,87.5
2011-03,1636,1021,339,205,70,1,87.2
2011-04,1493,912,308,213,58,2,85.1
2011-05,1808,1047,465,213,78,5,86
2011-06,1652,966,425,206,50,5,85.9
2011-07,1888,1151,423,238,68,8,87.3
2011-08,1671,973,411,217,69,1,86.9
2011-09,1612,971,386,186,67,2,86.7
2011-10,1851,1003,569,212,65,2,86.8
2011-11,1679,1009,407,192,66,5,86.6
2011-12,1603,853,471,211,57,11,87.2
2012-01,1686,1038,359,225,57,7,86.5
2012-02,1770,1057,398,254,59,2,87.5
2012-03,1697,1056,368,214,54,5,86.9
2012-04,1754,1090,375,211,78,0,87.6
2012-05,1650,996,380,194,75,5,86.7
2012-06,1561,951,222,190,195,3,85.4
2012-07,1698,1009,443,180,58,8,84.3
2012-08,1606,1010,366,171,59,0,83.5
2012-09,1494,954,310,186,43,1,82.2
2012-10,1540,942,362,173,60,3,81
2012-11,1469,942,309,174,43,1,79.6
2012-12,1488,950,302,188,48,0,78.5
2013-01,1347,803,335,156,52,1,77.2
2013-02,1546,1057,265,172,51,1,75.5
2013-03,1411,874,311,188,37,1,73.2
2013-04,1472,923,337,163,46,3,72.3
2013-05,1548,1027,300,171,47,3,71.5
2013-06,1603,1050,308,180,64,1,71.2
2013-07,1632,1057,349,170,54,2,70.7
2013-08,1510,969,312,174,53,2,69.7
2013-09,1485,946,341,152,44,2,69.6
2013-10,1413,949,256,160,48,0,68.7
2013-11,1353,914,221,176,40,2,67.7
2013-12,1348,918,255,142,33,0,67
2014-01,1494,951,293,193,57,0,67.3
2014-02,1458,921,336,151,47,3,66.6
2014-03,1406,881,325,156,37,7,66.5
2014-04,1418,903,327,132,56,0,65.6
2014-05,1285,846,292,92,49,6,63.9
2014-06,1210,725,325,123,36,1,62.3
2014-07,1334,863,275,136,58,2,60.7
2014-08,1201,798,252,113,38,0,59.1
2014-09,1449,878,395,130,46,0,59
2014-10,1273,874,238,115,45,1,58
2014-11,1361,877,330,116,37,1,57.5
2014-12,1363,839,328,142,53,1,57.4
2015-01,1129,766,218,109,34,2,55.7
2015-02,1301,854,300,114,33,0,54.8
2015-03,1214,811,269,108,26,0,53.8
2015-04,1235,808,263,129,34,1,52.9
2015-05,1210,837,228,130,15,0,52.1
2015-06,1288,861,260,121,40,6,52.2
2015-07,1120,783,184,111,42,0,51
2015-08,1348,887,292,138,30,1,51.1
2015-09,1146,772,230,108,36,0,49.9
2015-10,1173,850,165,125,33,0,49.1
2015-11,1237,834,250,130,23,0,48.6
2015-12,1151,839,194,90,26,2,47.7
2016-01,1252,862,254,104,32,0,47.8
2016-02,1101,776,208,94,23,0,46.9
2016-03,1212,830,256,101,25,0,46.6
2016-04,1222,851,221,111,39,0,46.3
2016-05,1222,830,230,119,43,0,46.1
2016-06,1208,869,198,108,33,0,45.5
2016-07,1185,804,224,126,30,1,45.1
2016-08,1184,827,235,103,19,0,44.7
2016-09,1255,860,243,119,29,4,44.9
